Frame,Time,Top_X,Top_Y,Top_Z,Pendulum_X,Pendulum_Y,Pendulum_Z
1028,8.566667,-0.001397,1.021948,0.024624,-0.649087,0.951586,-0.045047
1029,8.575,-0.001345,1.021959,0.02461,-0.648969,0.954594,-0.045067
1030,8.583333,-0.001292,1.02195,0.024558,-0.648941,0.957052,-0.045276
1031,8.591667,-0.001264,1.021958,0.024546,-0.648636,0.958634,-0.045263
1032,8.6,-0.001246,1.021959,0.024546,-0.648341,0.959517,-0.045303
1033,8.608333,-0.001265,1.021963,0.024588,-0.647875,0.959747,-0.045336
1034,8.616667,-0.00126,1.02195,0.024549,-0.647391,0.959311,-0.045421
1035,8.625,-0.001294,1.021958,0.024596,-0.646747,0.958162,-0.045398
1036,8.633333,-0.001317,1.021952,0.024608,-0.645702,0.955996,-0.045707
1037,8.641667,-0.001345,1.02195,0.02461,-0.644994,0.953524,-0.045633
1038,8.65,-0.001353,1.02193,0.024658,-0.644242,0.950382,-0.045644
1039,8.658333,-0.001358,1.021932,0.024658,-0.643379,0.946532,-0.045527
1040,8.666667,-0.00136,1.021933,0.024656,-0.642527,0.941994,-0.045525
1041,8.675,-0.001358,1.021928,0.024657,-0.641585,0.936808,-0.045405
1042,8.683333,-0.001356,1.021947,0.024605,-0.640652,0.930908,-0.045396
1043,8.691667,-0.001327,1.021953,0.024596,-0.639582,0.924418,-0.045305
1044,8.7,-0.001299,1.021953,0.024587,-0.638468,0.917247,-0.045215
1045,8.708333,-0.001256,1.021949,0.024535,-0.637348,0.909408,-0.045184
1046,8.716667,-0.00124,1.021957,0.02453,-0.636051,0.900839,-0.045075
1047,8.725,-0.00123,1.021956,0.024529,-0.634826,0.891696,-0.045112
1048,8.733333,-0.001246,1.021951,0.024533,-0.633398,0.881769,-0.045092
1049,8.741667,-0.001266,1.021956,0.024548,-0.631973,0.87112,-0.045057
1050,8.75,-0.001331,1.02194,0.024597,-0.630324,0.859657,-0.045003
1051,8.758333,-0.001399,1.021938,0.024621,-0.628754,0.848137,-0.045052
1052,8.766667,-0.001544,1.021838,0.024676,-0.626571,0.834969,-0.045053
1053,8.775,-0.001733,1.021807,0.024707,-0.623849,0.821124,-0.044949
1054,8.783333,-0.002194,1.0217,0.024656,-0.619757,0.805618,-0.044633
1055,8.791667,-0.002613,1.021538,0.024692,-0.614305,0.790309,-0.04451
1056,8.8,-0.002868,1.021538,0.024578,-0.607047,0.773863,-0.044497
1057,8.808333,-0.002727,1.021569,0.024726,-0.599567,0.758029,-0.043797
1058,8.816667,-0.00273,1.02159,0.02466,-0.591683,0.742501,-0.042981
1059,8.825,-0.002621,1.021549,0.024711,-0.583502,0.727443,-0.042184
1060,8.833333,-0.002471,1.02165,0.024703,-0.575325,0.712282,-0.041237
1061,8.841667,-0.002315,1.021755,0.02473,-0.566894,0.696882,-0.040163
1062,8.85,-0.002311,1.021704,0.024675,-0.557887,0.681226,-0.038981
1063,8.858333,-0.002446,1.021566,0.02463,-0.548343,0.66563,-0.037675
1064,8.866667,-0.00263,1.021411,0.024549,-0.537833,0.649685,-0.036334
1065,8.875,-0.002691,1.021367,0.024597,-0.525853,0.633473,-0.034799
1066,8.883333,-0.002672,1.021385,0.024614,-0.512739,0.616554,-0.033103
1067,8.891667,-0.002499,1.021483,0.024702,-0.498536,0.599778,-0.031369
1068,8.9,-0.00239,1.021484,0.024848,-0.48296,0.582189,-0.029391
1069,8.908333,-0.002548,1.021333,0.024864,-0.466261,0.564691,-0.027477
1070,8.916667,-0.002828,1.021219,0.024819,-0.448816,0.547619,-0.025614
1071,8.925,-0.003145,1.021141,0.024909,-0.43064,0.530837,-0.023769
1072,8.933333,-0.003569,1.020967,0.024858,-0.411996,0.514671,-0.021472
1073,8.941667,-0.003834,1.020917,0.024933,-0.392654,0.499987,-0.019678
1074,8.95,-0.004043,1.020941,0.024976,-0.372889,0.486505,-0.018346
1075,8.958333,-0.004274,1.021002,0.02494,-0.352442,0.473302,-0.016296
1076,8.966667,-0.004529,1.021033,0.024905,-0.33037,0.459465,-0.013064
1077,8.975,-0.004616,1.020899,0.024785,-0.307856,0.447049,-0.010175
1078,8.983333,-0.004544,1.02082,0.024917,-0.284239,0.435158,-0.007134
1079,8.991667,-0.004443,1.020808,0.025002,-0.259454,0.423949,-0.004029
1080,9,-0.004319,1.020792,0.025072,-0.23367,0.413784,-0.001008
1081,9.008333,-0.004234,1.020793,0.025073,-0.20721,0.404652,0.001844
1082,9.016667,-0.004048,1.020699,0.025056,-0.179685,0.395902,0.004362
1083,9.025,-0.00395,1.020666,0.025042,-0.153119,0.389564,0.006816
1084,9.033333,-0.003841,1.020601,0.025098,-0.126593,0.384527,0.00918
1085,9.041667,-0.003847,1.020568,0.025107,-0.099566,0.380074,0.012065
1086,9.05,-0.003874,1.020553,0.025107,-0.072451,0.376881,0.015102
1087,9.058333,-0.003878,1.02049,0.025133,-0.045257,0.374817,0.018477
1088,9.066667,-0.003823,1.020533,0.025114,-0.017692,0.373609,0.022408
1089,9.075,-0.003679,1.020499,0.025119,0.009974,0.373993,0.025991
1090,9.083333,-0.003548,1.020412,0.025103,0.038284,0.375407,0.029621
1091,9.091667,-0.003508,1.020418,0.025097,0.066159,0.378055,0.032778
1092,9.1,-0.003457,1.020468,0.025057,0.094068,0.382459,0.035539
1093,9.108333,-0.003382,1.020358,0.025102,0.121397,0.387828,0.038495
1094,9.116667,-0.003222,1.020511,0.025084,0.148603,0.395296,0.041192
1095,9.125,-0.002945,1.020592,0.025176,0.174682,0.402938,0.044215
1096,9.133333,-0.002769,1.020617,0.025105,0.198103,0.408654,0.046376
1097,9.141667,-0.002582,1.020669,0.025149,0.225511,0.4204,0.050484
1098,9.15,-0.002445,1.020645,0.025095,0.249263,0.42984,0.053416
1099,9.158333,-0.002398,1.020656,0.025083,0.272184,0.442409,0.057356
1100,9.166667,-0.002374,1.020679,0.025069,0.294878,0.454181,0.060478
1101,9.175,-0.002331,1.020724,0.025057,0.317534,0.467265,0.063081
1102,9.183333,-0.002273,1.020831,0.025022,0.339717,0.480723,0.064225
1103,9.191667,-0.002217,1.020864,0.025009,0.359854,0.494131,0.065641
1104,9.2,-0.002191,1.020878,0.025005,0.378757,0.508789,0.067709
1105,9.208333,-0.002141,1.020923,0.024986,0.397441,0.523612,0.069647
1106,9.216667,-0.002099,1.020952,0.024972,0.414989,0.538903,0.071809
1107,9.225,-0.002035,1.021015,0.024957,0.431622,0.554479,0.073933
1108,9.233333,-0.001969,1.021178,0.024913,0.447488,0.570314,0.076004
1109,9.241667,-0.001927,1.021253,0.024871,0.462629,0.586802,0.078513
1110,9.25,-0.001749,1.021404,0.024913,0.476831,0.603194,0.080247
1111,9.258333,-0.001667,1.021432,0.024858,0.490891,0.620061,0.081913
1112,9.266667,-0.001604,1.021463,0.02485,0.503557,0.636678,0.083323
1113,9.275,-0.001544,1.021501,0.024835,0.515247,0.653217,0.084579
1114,9.283333,-0.001502,1.021535,0.02477,0.526052,0.669581,0.085832
1115,9.291667,-0.001458,1.021577,0.024771,0.535959,0.685724,0.086776
1116,9.3,-0.001446,1.021597,0.024759,0.545061,0.701506,0.087779
1117,9.308333,-0.001452,1.021627,0.024762,0.553298,0.716909,0.088907
1118,9.316667,-0.001475,1.021638,0.024755,0.560855,0.731896,0.089909
1119,9.325,-0.001512,1.021654,0.024754,0.567687,0.746486,0.090812
1120,9.333333,-0.001585,1.021695,0.024691,0.574483,0.761173,0.091656
1121,9.341667,-0.001633,1.021707,0.024721,0.581522,0.775648,0.093033
1122,9.35,-0.001711,1.021758,0.024662,0.584244,0.787235,0.093521
1123,9.358333,-0.001746,1.021767,0.024662,0.589772,0.801172,0.094434
1124,9.366667,-0.001814,1.021813,0.024683,0.593707,0.813664,0.095051
1125,9.375,-0.001827,1.021815,0.024682,0.597288,0.825598,0.095672
