Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
714,5.95,0.148158,0.438629,0.252015,-0.000096,1.020349,0.025843
715,5.958333,0.16023,0.435502,0.234752,-0.000077,1.020359,0.025841
716,5.966667,0.173066,0.431986,0.216566,-0.000052,1.020356,0.02584
717,5.975,0.183859,0.430115,0.198934,-0.000029,1.02036,0.025831
718,5.983333,0.194244,0.429125,0.180893,0,1.020361,0.025836
719,5.991667,0.204658,0.428192,0.162175,0.000034,1.020369,0.025829
720,6,0.215215,0.427321,0.142809,0.000067,1.020376,0.025827
721,6.008333,0.224628,0.42739,0.123512,0.000175,1.020473,0.025881
722,6.016667,0.233641,0.427982,0.103938,0.000202,1.020477,0.025871
723,6.025,0.242134,0.42915,0.084489,0.000229,1.020484,0.025869
724,6.033333,0.250069,0.431001,0.064767,0.000239,1.0205,0.025864
725,6.041667,0.257513,0.43327,0.044862,0.000243,1.020505,0.025862
726,6.05,0.264262,0.435996,0.025043,0.000248,1.020521,0.025855
727,6.058333,0.270509,0.439295,0.005231,0.000249,1.020544,0.025847
728,6.066667,0.276811,0.442692,-0.014931,0.000259,1.020561,0.025837
729,6.075,0.281776,0.44702,-0.034765,0.000259,1.020571,0.02583
730,6.083333,0.286533,0.451595,-0.05413,0.000269,1.020594,0.025827
731,6.091667,0.290454,0.456968,-0.074042,0.000272,1.020607,0.025814
732,6.1,0.293768,0.462361,-0.093039,0.000237,1.020629,0.025727
733,6.108333,0.296316,0.46828,-0.112222,0.000254,1.020717,0.02569
734,6.116667,0.298604,0.474537,-0.130879,0.000264,1.020744,0.025681
735,6.125,0.300322,0.480856,-0.149241,0.000279,1.020757,0.025675
736,6.133333,0.30159,0.487727,-0.167391,0.000282,1.020774,0.025668
737,6.141667,0.302058,0.494773,-0.185121,0.000286,1.020785,0.025661
738,6.15,0.301946,0.501974,-0.202289,0.000281,1.020803,0.025658
739,6.158333,0.30128,0.509237,-0.219203,0.000276,1.020818,0.025654
740,6.166667,0.299883,0.516884,-0.236037,0.000257,1.020836,0.025651
741,6.175,0.298589,0.524481,-0.251907,0.00025,1.020846,0.025645
742,6.183333,0.29654,0.532143,-0.267514,0.000191,1.0209,0.025633
743,6.191667,0.294034,0.54023,-0.282903,0.000181,1.02105,0.025658
744,6.2,0.290428,0.548135,-0.297926,0.000079,1.021063,0.025544
745,6.208333,0.28706,0.556084,-0.312274,0.000107,1.021151,0.025572
746,6.216667,0.283226,0.563855,-0.326111,0.000095,1.021161,0.025572
747,6.225,0.278895,0.571488,-0.339483,0.000083,1.021175,0.025561
748,6.233333,0.274174,0.579065,-0.352241,0.000009,1.021183,0.025468
749,6.241667,0.269335,0.586432,-0.364368,-0.000012,1.021213,0.025425
750,6.25,0.263903,0.59377,-0.376033,-0.000015,1.021219,0.025423
751,6.258333,0.258054,0.600825,-0.387607,-0.000021,1.021235,0.025425
752,6.266667,0.252237,0.607827,-0.398225,-0.00002,1.021246,0.025419
753,6.275,0.245769,0.614572,-0.408506,-0.000033,1.021254,0.025415
754,6.283333,0.239213,0.620927,-0.418245,-0.000042,1.021255,0.025414
755,6.291667,0.232226,0.627111,-0.427758,-0.000099,1.021273,0.02534
756,6.3,0.224769,0.633057,-0.436846,-0.000121,1.021289,0.025351
757,6.308333,0.217514,0.638665,-0.444873,-0.000182,1.02135,0.02538
758,6.316667,0.209891,0.643907,-0.452764,-0.000201,1.02135,0.025379
759,6.325,0.201993,0.648933,-0.460176,-0.000219,1.021348,0.025375
760,6.333333,0.1938,0.653613,-0.467205,-0.00024,1.021339,0.025386
761,6.341667,0.185583,0.657888,-0.473616,-0.000254,1.021353,0.025384
762,6.35,0.177615,0.662008,-0.480127,-0.000261,1.021357,0.025383
763,6.358333,0.168254,0.665802,-0.486262,-0.000261,1.021341,0.025388
764,6.366667,0.160194,0.668758,-0.490986,-0.00026,1.021345,0.025387
765,6.375,0.151181,0.671539,-0.495647,-0.000262,1.021357,0.025385
766,6.383333,0.141678,0.673839,-0.500379,-0.000266,1.021366,0.025383
767,6.391667,0.133079,0.675623,-0.503932,-0.000261,1.021367,0.025377
768,6.4,0.123558,0.676777,-0.508022,-0.000271,1.021365,0.02538
769,6.408333,0.113465,0.677944,-0.511407,-0.00027,1.021357,0.025377
770,6.416667,0.104238,0.678907,-0.513413,-0.000272,1.021366,0.025379
771,6.425,0.094693,0.679173,-0.515352,-0.000274,1.021376,0.025377
772,6.433333,0.084776,0.67909,-0.516852,-0.000293,1.021376,0.025375
773,6.441667,0.074934,0.678561,-0.517872,-0.000307,1.021365,0.025382
774,6.45,0.065341,0.677167,-0.518792,-0.000378,1.021419,0.02539
775,6.458333,0.05433,0.676233,-0.5187,-0.000382,1.021422,0.025389
776,6.466667,0.045269,0.673814,-0.518858,-0.000434,1.021484,0.025399
777,6.475,0.035736,0.671528,-0.518408,-0.000384,1.021429,0.025386
778,6.483333,0.025742,0.668359,-0.518601,-0.000394,1.021419,0.025387
779,6.491667,0.012136,0.667789,-0.514879,-0.000444,1.021484,0.025398
780,6.5,0.004122,0.662223,-0.513662,-0.000396,1.021429,0.025389
781,6.508333,-0.005804,0.658318,-0.511259,-0.00045,1.021482,0.025392
782,6.516667,-0.015981,0.654206,-0.508455,-0.000448,1.021483,0.025391
783,6.525,-0.026165,0.649807,-0.505098,-0.000394,1.021422,0.025383
784,6.533333,-0.036209,0.644768,-0.501056,-0.000449,1.021477,0.025387
785,6.541667,-0.046101,0.639414,-0.496487,-0.000449,1.02148,0.025386
786,6.55,-0.056258,0.633854,-0.491404,-0.000467,1.021471,0.025387
787,6.558333,-0.0666,0.628098,-0.485255,-0.000482,1.02147,0.025389
788,6.566667,-0.076908,0.621931,-0.479298,-0.000487,1.021462,0.025384
789,6.575,-0.086732,0.615594,-0.47247,-0.000506,1.021454,0.025383
790,6.583333,-0.096711,0.609194,-0.465434,-0.000519,1.021452,0.025388
791,6.591667,-0.106402,0.602363,-0.457693,-0.000536,1.02145,0.025391
792,6.6,-0.11578,0.59521,-0.449295,-0.00057,1.021311,0.02532
793,6.608333,-0.125273,0.587998,-0.440343,-0.000705,1.021315,0.025254
794,6.616667,-0.134669,0.58039,-0.430767,-0.00071,1.021307,0.025254
795,6.625,-0.143174,0.573127,-0.420892,-0.000701,1.02128,0.02529
796,6.633333,-0.151954,0.565963,-0.41027,-0.000706,1.021274,0.025288
797,6.641667,-0.160642,0.558255,-0.39894,-0.00066,1.021205,0.025284
798,6.65,-0.169366,0.550736,-0.387241,-0.000745,1.021141,0.025206
799,6.658333,-0.177609,0.542876,-0.374745,-0.000677,1.021191,0.025287
