Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
159,1.325,-0.011511,0.377086,0.030021,-0.001064,1.021323,0.024708
160,1.333333,-0.011528,0.377102,0.030025,-0.001052,1.021328,0.024705
161,1.341667,-0.011594,0.377067,0.030038,-0.001056,1.021307,0.02471
162,1.35,-0.011633,0.377055,0.030037,-0.001059,1.021314,0.024707
163,1.358333,-0.011649,0.377053,0.030087,-0.001057,1.021309,0.0247
164,1.366667,-0.011676,0.377064,0.030072,-0.001036,1.021327,0.024695
165,1.375,-0.011731,0.377082,0.030051,-0.001046,1.021329,0.024706
166,1.383333,-0.011767,0.377084,0.030052,-0.001047,1.021321,0.024702
167,1.391667,-0.01179,0.377064,0.030099,-0.001056,1.021323,0.024703
168,1.4,-0.011829,0.37703,0.030094,-0.001061,1.021313,0.024705
169,1.408333,-0.011835,0.377054,0.030114,-0.001049,1.02131,0.024709
170,1.416667,-0.011869,0.377046,0.0301,-0.001044,1.021317,0.024708
171,1.425,-0.011921,0.377046,0.030044,-0.001053,1.02132,0.024706
172,1.433333,-0.011929,0.377032,0.030086,-0.001061,1.021324,0.024704
173,1.441667,-0.011992,0.377088,0.030074,-0.001066,1.021316,0.02471
174,1.45,-0.012008,0.377071,0.030072,-0.001064,1.021325,0.024718
175,1.458333,-0.01199,0.377026,0.0301,-0.001076,1.021316,0.024711
176,1.466667,-0.012047,0.377053,0.030058,-0.001065,1.021306,0.024715
177,1.475,-0.012092,0.377044,0.030001,-0.001059,1.021308,0.024711
178,1.483333,-0.012104,0.377061,0.030013,-0.001067,1.021314,0.024716
179,1.491667,-0.012119,0.377077,0.029995,-0.00107,1.021321,0.024707
180,1.5,-0.012105,0.377075,0.030046,-0.001061,1.021328,0.024707
181,1.508333,-0.012123,0.377078,0.029984,-0.001058,1.021329,0.024703
182,1.516667,-0.012138,0.377073,0.029983,-0.001053,1.021319,0.024707
183,1.525,-0.01215,0.377052,0.029971,-0.001055,1.021306,0.024697
184,1.533333,-0.012148,0.377037,0.029962,-0.001051,1.021317,0.024704
185,1.541667,-0.01214,0.377051,0.029945,-0.001042,1.021316,0.024695
186,1.55,-0.012155,0.377067,0.029941,-0.001055,1.021326,0.024708
187,1.558333,-0.012168,0.377073,0.029928,-0.001054,1.021332,0.024703
188,1.566667,-0.012151,0.377077,0.029933,-0.001053,1.021326,0.02471
189,1.575,-0.012162,0.377042,0.029909,-0.001053,1.021315,0.024706
190,1.583333,-0.01214,0.377034,0.029899,-0.00106,1.021314,0.024711
191,1.591667,-0.012139,0.377036,0.029895,-0.001059,1.021313,0.024712
192,1.6,-0.012132,0.377046,0.029888,-0.001062,1.021314,0.024717
193,1.608333,-0.012125,0.377061,0.029883,-0.00106,1.021317,0.024707
194,1.616667,-0.012129,0.377068,0.029856,-0.001061,1.021324,0.024707
195,1.625,-0.012113,0.377062,0.029842,-0.001065,1.021321,0.024707
196,1.633333,-0.012099,0.37705,0.029835,-0.001066,1.021321,0.024715
197,1.641667,-0.01207,0.377046,0.029822,-0.001061,1.021308,0.024713
198,1.65,-0.012065,0.377055,0.029807,-0.001058,1.021309,0.024707
199,1.658333,-0.012045,0.377054,0.029794,-0.00106,1.021318,0.024709
200,1.666667,-0.012024,0.377071,0.029772,-0.001055,1.021323,0.024707
201,1.675,-0.012009,0.377069,0.029765,-0.001062,1.02132,0.024711
202,1.683333,-0.011976,0.37707,0.029736,-0.001057,1.021322,0.02471
203,1.691667,-0.011949,0.377046,0.029728,-0.001055,1.021317,0.024708
204,1.7,-0.011925,0.377048,0.029714,-0.001061,1.021307,0.024709
205,1.708333,-0.011892,0.377046,0.029702,-0.001061,1.021305,0.024707
206,1.716667,-0.011859,0.377068,0.029687,-0.001066,1.021312,0.024715
207,1.725,-0.011835,0.377073,0.029668,-0.001055,1.021319,0.024711
208,1.733333,-0.011806,0.377079,0.029642,-0.001062,1.021318,0.024705
209,1.741667,-0.011783,0.377076,0.029614,-0.00106,1.02132,0.024709
210,1.75,-0.011749,0.377059,0.02959,-0.00106,1.021318,0.024706
211,1.758333,-0.011704,0.377033,0.029508,-0.001052,1.021318,0.024713
212,1.766667,-0.01166,0.377025,0.029482,-0.001058,1.021307,0.024705
213,1.775,-0.011618,0.377049,0.029463,-0.001049,1.021318,0.024705
214,1.783333,-0.011574,0.377065,0.029446,-0.001054,1.021325,0.024704
215,1.791667,-0.011529,0.377053,0.029427,-0.001055,1.021326,0.024705
216,1.8,-0.011487,0.377069,0.029414,-0.001064,1.021328,0.024704
217,1.808333,-0.011445,0.377051,0.029388,-0.00106,1.021326,0.0247
218,1.816667,-0.011372,0.377016,0.029361,-0.001056,1.021319,0.024701
219,1.825,-0.011297,0.376988,0.029355,-0.001055,1.021312,0.024698
220,1.833333,-0.011259,0.376989,0.029339,-0.001063,1.021315,0.024708
221,1.841667,-0.011202,0.377004,0.029314,-0.001058,1.021321,0.024703
222,1.85,-0.011157,0.377022,0.029305,-0.001063,1.02133,0.024712
223,1.858333,-0.011103,0.37701,0.029291,-0.001064,1.021319,0.024709
224,1.866667,-0.011055,0.377001,0.029276,-0.001055,1.021326,0.024705
225,1.875,-0.01102,0.377003,0.02926,-0.001061,1.021315,0.024706
226,1.883333,-0.010923,0.37697,0.029282,-0.001052,1.021312,0.024713
227,1.891667,-0.010875,0.376976,0.029264,-0.001053,1.02132,0.024707
228,1.9,-0.010828,0.376983,0.029251,-0.001053,1.021312,0.024703
229,1.908333,-0.010778,0.377031,0.02924,-0.001049,1.021329,0.024715
230,1.916667,-0.010713,0.376964,0.02922,-0.001047,1.02132,0.024708
231,1.925,-0.01067,0.376976,0.029197,-0.001041,1.021329,0.0247
232,1.933333,-0.010625,0.376985,0.029201,-0.001055,1.021313,0.024709
233,1.941667,-0.010591,0.376984,0.029188,-0.001054,1.021316,0.024698
234,1.95,-0.010548,0.376999,0.029144,-0.001061,1.021318,0.02471
235,1.958333,-0.010491,0.377022,0.02913,-0.001054,1.021325,0.024707
236,1.966667,-0.010447,0.37703,0.029106,-0.001063,1.021309,0.024704
237,1.975,-0.010394,0.377035,0.029101,-0.001051,1.021325,0.02471
238,1.983333,-0.010346,0.377041,0.029073,-0.001052,1.021309,0.024703
239,1.991667,-0.010303,0.377046,0.029069,-0.001053,1.021309,0.024699
240,2,-0.010258,0.377042,0.02906,-0.001052,1.021317,0.024702
241,2.008333,-0.010221,0.377059,0.029059,-0.001055,1.021325,0.02471
242,2.016667,-0.010174,0.377065,0.029038,-0.001057,1.021319,0.024703
243,2.025,-0.010137,0.377063,0.029031,-0.001054,1.021331,0.024711
244,2.033333,-0.010103,0.377077,0.029023,-0.001054,1.021325,0.024702
245,2.041667,-0.010054,0.377081,0.029018,-0.001057,1.021313,0.024712
246,2.05,-0.01002,0.377084,0.029007,-0.001051,1.021314,0.0247
247,2.058333,-0.009989,0.37711,0.029008,-0.001056,1.021327,0.024714
248,2.066667,-0.009951,0.377116,0.02899,-0.001056,1.021317,0.024695
249,2.075,-0.009923,0.377119,0.028999,-0.001063,1.02132,0.024715
250,2.083333,-0.009885,0.377115,0.028998,-0.001049,1.021329,0.024706
251,2.091667,-0.009817,0.377079,0.029009,-0.001052,1.021312,0.024711
252,2.1,-0.009759,0.377065,0.028992,-0.001057,1.02132,0.0247
253,2.108333,-0.009702,0.37704,0.028981,-0.001049,1.021318,0.024708
254,2.116667,-0.009669,0.37706,0.028979,-0.001057,1.021317,0.024705
