Format Version,1.21,Take Name,Run_2_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.46.50 AM,Total Frames in Take,6637,Total Exported Frames,6637,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
111,0.925000,-0.020473,0.412314,0.037811,-0.017898,1.024921,0.021769,1.864531,0.017796,0.351777,,,
112,0.933333,-0.020510,0.412257,0.036914,-0.017900,1.024930,0.021768,1.865035,0.017907,0.351859,,,
113,0.941667,-0.020566,0.412227,0.036161,-0.017902,1.024928,0.021767,1.865028,0.017894,0.351858,,,
114,0.950000,-0.020563,0.412249,0.035370,-0.017910,1.024928,0.021766,1.864529,0.017807,0.351779,,,
115,0.958333,-0.020626,0.412209,0.034485,-0.017969,1.024965,0.021778,1.864577,0.017783,0.351764,,,
116,0.966667,-0.020717,0.412156,0.033764,-0.017987,1.024867,0.021731,1.864445,0.017879,0.351813,,,
117,0.975000,-0.020675,0.412118,0.032959,-0.017987,1.024962,0.021783,1.864580,0.017762,0.351759,,,
118,0.983333,-0.020785,0.412178,0.032054,-0.017988,1.024964,0.021788,1.865017,0.017920,0.351867,,,
119,0.991667,-0.020887,0.412160,0.031238,-0.017989,1.024965,0.021783,1.865031,0.017905,0.351857,,,
120,1.000000,-0.020905,0.412090,0.030425,-0.017996,1.024954,0.021785,1.864497,0.017820,0.351790,,,
121,1.008333,-0.021074,0.412202,0.029629,-0.018001,1.024959,0.021783,1.865024,0.017917,0.351864,,,
122,1.016667,-0.021088,0.412131,0.028730,-0.018002,1.024965,0.021782,1.865067,0.017887,0.351846,,,
123,1.025000,-0.021199,0.412070,0.027962,-0.017997,1.024969,0.021784,1.864533,0.017785,0.351773,,,
124,1.033333,-0.021328,0.412102,0.027107,-0.017993,1.024973,0.021776,1.865035,0.017907,0.351861,,,
125,1.041667,-0.021320,0.412050,0.026264,-0.017995,1.024976,0.021772,1.865056,0.017893,0.351852,,,
126,1.050000,-0.021426,0.412031,0.025484,-0.017987,1.024991,0.021771,1.864602,0.017765,0.351755,,,
127,1.058333,-0.021619,0.412087,0.024584,-0.017986,1.024998,0.021760,1.865064,0.017907,0.351857,,,
128,1.066667,-0.021646,0.412053,0.023904,-0.017989,1.025016,0.021757,1.865015,0.017917,0.351867,,,
129,1.075000,-0.021698,0.412021,0.023026,-0.017995,1.025017,0.021756,1.864532,0.017801,0.351776,,,
130,1.083333,-0.021941,0.412129,0.022158,-0.018010,1.025023,0.021744,1.864604,0.017762,0.351756,,,
131,1.091667,-0.021937,0.412004,0.021490,-0.018040,1.025040,0.021703,1.864481,0.017821,0.351791,,,
132,1.100000,-0.021976,0.411949,0.020704,-0.018051,1.025046,0.021712,1.865100,0.017890,0.351846,,,
133,1.108333,-0.022160,0.412041,0.019844,-0.018124,1.024996,0.021669,1.865089,0.017872,0.351840,,,
134,1.116667,-0.022254,0.411994,0.019168,-0.018045,1.025031,0.021745,1.864595,0.017762,0.351759,,,
135,1.125000,-0.022288,0.411924,0.018470,-0.018055,1.025031,0.021746,1.864535,0.017795,0.351774,,,
136,1.133333,-0.022423,0.411945,0.017711,-0.018131,1.024992,0.021659,1.864919,0.017974,0.351894,,,
137,1.141667,-0.022596,0.412005,0.016919,-0.018137,1.024982,0.021644,1.864649,0.017737,0.351741,,,
138,1.150000,-0.022694,0.411994,0.016329,-0.018069,1.025016,0.021720,1.865048,0.017899,0.351853,,,
139,1.158333,-0.022864,0.412061,0.015558,-0.018134,1.024969,0.021640,1.864577,0.017789,0.351767,,,
140,1.166667,-0.022984,0.412039,0.014841,-0.018140,1.024975,0.021650,1.865062,0.017896,0.351851,,,
141,1.175000,-0.023098,0.412000,0.014213,-0.018057,1.024997,0.021723,1.864606,0.017748,0.351752,,,
142,1.183333,-0.023241,0.412019,0.013682,-0.018057,1.024998,0.021719,1.865014,0.017929,0.351871,,,
143,1.191667,-0.023384,0.412037,0.013006,-0.018050,1.024998,0.021719,1.864938,0.017979,0.351893,,,
144,1.200000,-0.023545,0.412060,0.012413,-0.018047,1.025006,0.021718,1.865044,0.017896,0.351855,,,
145,1.208333,-0.023725,0.412139,0.011787,-0.018046,1.024997,0.021723,1.864521,0.017799,0.351778,,,
146,1.216667,-0.023788,0.412080,0.011291,-0.018051,1.025001,0.021724,1.864486,0.017813,0.351789,,,
147,1.225000,-0.023986,0.412187,0.010764,-0.018057,1.025003,0.021725,1.864984,0.017944,0.351876,,,
148,1.233333,-0.024136,0.412239,0.010213,-0.018077,1.025025,0.021691,1.864552,0.017772,0.351766,,,
149,1.241667,-0.024276,0.412261,0.009655,-0.018084,1.025024,0.021694,1.864993,0.017940,0.351874,,,
150,1.250000,-0.024365,0.412220,0.009209,-0.018144,1.024969,0.021658,1.865106,0.017878,0.351840,,,
