Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
117,0.975000,-0.024891,0.412146,0.030688,-0.017985,1.025039,0.021732,1.865245,0.017762,0.351784,,,,,,
118,0.983333,-0.024913,0.412151,0.030705,-0.017979,1.025043,0.021739,1.864621,0.017720,0.351739,,,,,,
119,0.991667,-0.024938,0.412155,0.030751,-0.017982,1.025043,0.021731,1.864755,0.017667,0.351705,,,,,,
120,1.000000,-0.025007,0.412091,0.030768,-0.017996,1.025052,0.021688,1.864639,0.017709,0.351736,,,,,,
121,1.008333,-0.024982,0.412161,0.030775,-0.017980,1.025044,0.021731,1.865161,0.017812,0.351812,,,,,,
122,1.016667,-0.024987,0.412131,0.030830,-0.017981,1.025042,0.021729,1.864592,0.017756,0.351757,,,,,,
123,1.025000,-0.025011,0.412136,0.030843,-0.017983,1.025038,0.021726,1.865171,0.017819,0.351815,,,,,,
124,1.033333,-0.025031,0.412134,0.030859,-0.017985,1.025046,0.021728,1.865170,0.017834,0.351817,,,,,,
125,1.041667,-0.025056,0.412131,0.030873,-0.017985,1.025044,0.021729,1.864727,0.017670,0.351712,,,,,,
126,1.050000,-0.025066,0.412133,0.030869,-0.017981,1.025040,0.021727,1.864639,0.017734,0.351741,,,,,,
127,1.058333,-0.025085,0.412131,0.030882,-0.017981,1.025039,0.021725,1.864710,0.017675,0.351717,,,,,,
128,1.066667,-0.025105,0.412137,0.030885,-0.017986,1.025040,0.021729,1.864605,0.017746,0.351752,,,,,,
129,1.075000,-0.025180,0.412102,0.030859,-0.018005,1.025053,0.021687,1.864665,0.017698,0.351726,,,,,,
130,1.083333,-0.025135,0.412139,0.030905,-0.018001,1.025052,0.021683,1.864715,0.017684,0.351716,,,,,,
131,1.091667,-0.025151,0.412128,0.030906,-0.017983,1.025040,0.021725,1.864625,0.017730,0.351743,,,,,,
132,1.100000,-0.025221,0.412108,0.030875,-0.017983,1.025046,0.021723,1.864603,0.017755,0.351753,,,,,,
133,1.108333,-0.025234,0.412108,0.030874,-0.017986,1.025038,0.021730,1.864584,0.017754,0.351757,,,,,,
134,1.116667,-0.025271,0.412123,0.030904,-0.017986,1.025043,0.021729,1.864627,0.017704,0.351734,,,,,,
135,1.125000,-0.025289,0.412128,0.030912,-0.017980,1.025044,0.021729,1.864542,0.017768,0.351766,,,,,,
136,1.133333,-0.025297,0.412124,0.030905,-0.017987,1.025043,0.021730,1.865132,0.017852,0.351829,,,,,,
