"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.948538708E0,-6.094875641E0,2.710563354E0,8.010442200E0,1.042409934E1
1.958564708E0,-6.389612732E0,2.978805542E0,8.247100067E0,1.084965865E1
1.968589708E0,-6.772067413E0,3.300785980E0,8.607101440E0,1.143845620E1
1.978615708E0,-7.236701202E0,3.664679260E0,9.035510559E0,1.214249437E1
1.988641708E0,-7.635022888E0,4.019591217E0,9.432634735E0,1.278378997E1
1.998667708E0,-7.980953522E0,4.364024963E0,9.802066498E0,1.337239098E1
2.008692708E0,-8.255931702E0,4.706961823E0,1.013482452E1,1.389354404E1
2.018718708E0,-8.427325287E0,5.018464050E0,1.037253021E1,1.427564975E1
2.028744708E0,-8.525670776E0,5.305567017E0,1.055709641E1,1.457011970E1
2.038770708E0,-8.533005524E0,5.586981812E0,1.067011139E1,1.476068515E1
2.048796708E0,-8.433312836E0,5.800886993E0,1.061562469E1,1.474661124E1
2.058821708E0,-8.221054230E0,5.952521667E0,1.042641815E1,1.455089146E1
2.068847708E0,-7.965685272E0,6.057303772E0,1.016566040E1,1.426477207E1
2.078873708E0,-7.721692657E0,6.153403931E0,9.925859070E0,1.400041413E1
2.088899708E0,-7.518415375E0,6.249055023E0,9.722581787E0,1.378788798E1
2.098924708E0,-7.282356262E0,6.292015686E0,9.467512207E0,1.350022079E1
2.108950708E0,-7.013215942E0,6.262077942E0,9.176517334E0,1.313800930E1
2.118976708E0,-6.693780212E0,6.132896576E0,8.813821564E0,1.265316421E1
2.129002708E0,-6.408473511E0,5.967789917E0,8.464448090E0,1.217907758E1
2.139028708E0,-6.182293854E0,5.774242401E0,8.197553101E0,1.177974997E1
2.149053708E0,-5.970783691E0,5.490881653E0,7.902965698E0,1.132505656E1
2.159079708E0,-5.827381897E0,5.208568726E0,7.676935730E0,1.095549680E1
2.169105708E0,-5.783373413E0,4.958738251E0,7.594906311E0,1.075728102E1
2.179131708E0,-5.855673065E0,4.758454742E0,7.693401489E0,1.077590948E1
2.189156708E0,-5.977220306E0,4.582570496E0,7.851023712E0,1.087959964E1
2.199182708E0,-6.099965057E0,4.382137299E0,7.982899475E0,1.096081133E1
2.209208708E0,-6.187083893E0,4.190535736E0,8.100554810E0,1.102087043E1
2.219234708E0,-6.263125763E0,4.018094330E0,8.210126953E0,1.108052395E1
2.229260708E0,-6.295308838E0,3.876339111E0,8.261320496E0,1.108631294E1
2.239285708E0,-6.268364868E0,3.757785645E0,8.267008667E0,1.103434562E1
2.249311708E0,-6.248755646E0,3.679049377E0,8.246950378E0,1.098155463E1
2.259337708E0,-6.212680664E0,3.622167664E0,8.204289093E0,1.090998896E1
2.269363708E0,-6.063740387E0,3.542682953E0,7.981252899E0,1.063108404E1
2.279388708E0,-5.887856140E0,3.467090149E0,7.692054291E0,1.028859870E1
2.289414708E0,-5.769751740E0,3.421435089E0,7.472011871E0,1.004127555E1
2.299440708E0,-5.723198547E0,3.429518280E0,7.334447937E0,9.915176437E0
2.309466708E0,-5.740562439E0,3.451672211E0,7.267686768E0,9.883692079E0
2.319491708E0,-5.712720337E0,3.462449799E0,7.168892212E0,9.798813592E0
2.329517708E0,-5.610482941E0,3.431763611E0,6.975195007E0,9.586859011E0
2.339543708E0,-5.466781769E0,3.390748901E0,6.750063171E0,9.324496439E0
2.349569708E0,-5.286107483E0,3.348836060E0,6.501430206E0,9.023648375E0
2.359595708E0,-5.119354248E0,3.309617615E0,6.273154907E0,8.747218367E0
2.369620708E0,-4.962630157E0,3.276835785E0,6.075116730E0,8.501317199E0
2.379646708E0,-4.818928986E0,3.256927185E0,5.897286530E0,8.282972876E0
2.389672708E0,-4.736749878E0,3.265160065E0,5.777685242E0,8.153509453E0
2.399698708E0,-4.703369293E0,3.300037537E0,5.705684967E0,8.097331128E0
2.409723708E0,-4.742887115E0,3.343896332E0,5.714366913E0,8.144360631E0
2.419749708E0,-4.898264008E0,3.447480927E0,5.869145050E0,8.385998965E0
2.429775708E0,-5.194348297E0,3.622916107E0,6.225703583E0,8.880662163E0
2.439801708E0,-5.511538696E0,3.795058136E0,6.622827759E0,9.414954731E0
2.449827708E0,-5.758225708E0,3.931574249E0,6.915918274E0,9.820609195E0
2.459852708E0,-5.974974976E0,4.052522736E0,7.179520111E0,1.018178646E1
2.469878708E0,-6.144572296E0,4.156406708E0,7.398814087E0,1.047730573E1
2.479904708E0,-6.217770081E0,4.243525543E0,7.538922729E0,1.065380353E1
2.489930708E0,-6.331832886E0,4.373605042E0,7.741900635E0,1.091593121E1
2.499956708E0,-6.439608765E0,4.521796875E0,7.946076050E0,1.118281416E1
2.509981708E0,-6.512207794E0,4.673281860E0,8.127648468E0,1.141521280E1
2.520007708E0,-6.547234955E0,4.819527740E0,8.263416138E0,1.159216026E1
2.530033708E0,-6.528673553E0,4.941224670E0,8.292455750E0,1.165350170E1
2.540059708E0,-6.533912659E0,5.081483002E0,8.350085907E0,1.175744100E1
2.550084708E0,-6.524332581E0,5.184618530E0,8.356223145E0,1.180142577E1
2.560110708E0,-6.469546509E0,5.241500244E0,8.292006683E0,1.175098854E1
2.570136708E0,-6.420149231E0,5.286556549E0,8.221802673E0,1.169461566E1
2.580162708E0,-6.349346466E0,5.283413086E0,8.135132904E0,1.159349135E1
2.590188708E0,-6.280938721E0,5.258564758E0,8.060138855E0,1.149210742E1
2.600213708E0,-6.201603699E0,5.199737091E0,7.990084534E0,1.137271318E1
2.610239708E0,-6.102210388E0,5.092709656E0,7.901618500E0,1.120750812E1
2.620265708E0,-6.004313965E0,4.955295410E0,7.791746979E0,1.101444777E1
2.630291708E0,-6.021827545E0,4.858596497E0,7.820936279E0,1.100160948E1
2.640316708E0,-6.072721710E0,4.772824860E0,7.923622742E0,1.106533341E1
2.650342708E0,-6.144422607E0,4.680017853E0,8.011190643E0,1.112814773E1
2.660368708E0,-6.246360626E0,4.583917694E0,8.123457184E0,1.122585761E1
2.670394708E0,-6.425088959E0,4.551135864E0,8.342302094E0,1.147120787E1
2.680419708E0,-6.614594879E0,4.550088043E0,8.578660583E0,1.174945037E1
2.690445708E0,-6.823859711E0,4.584666138E0,8.844956818E0,1.207549113E1
2.700471708E0,-7.036118317E0,4.670288086E0,9.123527527E0,1.243210788E1
2.710497708E0,-7.203919373E0,4.774770813E0,9.349108429E0,1.273187806E1
2.720523708E0,-7.317383423E0,4.884492645E0,9.482331390E0,1.293510638E1
2.730548708E0,-7.430099030E0,5.040767670E0,9.611961823E0,1.315315629E1
2.740574708E0,-7.563471680E0,5.251679077E0,9.763746185E0,1.342076662E1
2.750600708E0,-7.599396973E0,5.416935425E0,9.774673462E0,1.351437254E1
2.760626708E0,-7.538024597E0,5.548811188E0,9.632469177E0,1.343114228E1
2.770651708E0,-7.491022339E0,5.698948975E0,9.509275360E0,1.337982634E1
2.780677708E0,-7.429051208E0,5.837411041E0,9.394763489E0,1.332395401E1
2.790703708E0,-7.368277588E0,6.000122681E0,9.324559479E0,1.331316628E1
2.800729708E0,-7.288044434E0,6.160289612E0,9.278605042E0,1.331004400E1
2.810755708E0,-7.124135284E0,6.252946930E0,9.141939240E0,1.316919519E1
2.820780708E0,-6.825057220E0,6.226002960E0,8.797804871E0,1.275718972E1
2.830806708E0,-6.581962738E0,6.205196228E0,8.556506653E0,1.245152600E1
2.840832708E0,-6.413562927E0,6.202950897E0,8.408314819E0,1.226010389E1
2.850858167E0,-6.277795258E0,6.169121246E0,8.292455750E0,1.209270824E1
2.860883167E0,-6.212530975E0,6.134992218E0,8.243357849E0,1.200777328E1
2.870909167E0,-6.201004944E0,6.105054474E0,8.258626099E0,1.199704370E1
2.880935167E0,-6.210285645E0,6.051765289E0,8.299491119E0,1.200304394E1
2.890961167E0,-6.158792725E0,5.906866608E0,8.241112518E0,1.186329366E1
2.900987167E0,-6.160888367E0,5.815257111E0,8.269253998E0,1.183867908E1
2.911012167E0,-6.244714050E0,5.810167694E0,8.431666260E0,1.199364407E1
2.921038167E0,-6.269562378E0,5.768105164E0,8.520731049E0,1.204912060E1
2.931064167E0,-6.243067474E0,5.703289948E0,8.517587585E0,1.200219588E1
2.941090167E0,-6.214476929E0,5.639372864E0,8.539142761E0,1.197243538E1
2.951115167E0,-6.158044281E0,5.590873718E0,8.510402527E0,1.189984578E1
2.961141167E0,-6.032305756E0,5.501509552E0,8.359665985E0,1.168500473E1
2.971167167E0,-5.883365479E0,5.410947876E0,8.177494812E0,1.143519863E1
2.981193167E0,-5.793701935E0,5.345084839E0,8.036338348E0,1.125698219E1
2.991219167E0,-5.695057068E0,5.253774719E0,7.870632935E0,1.104457725E1
3.001244167E0,-5.560187531E0,5.130880280E0,7.660320282E0,1.076671373E1
3.011270167E0,-5.444777527E0,5.016967163E0,7.489375763E0,1.053120654E1
3.021296167E0,-5.378016357E0,4.895719299E0,7.345973969E0,1.033704314E1
3.031322167E0,-5.277575226E0,4.743336182E0,7.195237427E0,1.010561626E1
3.041347167E0,-5.192701721E0,4.581672363E0,7.090155945E0,9.910912376E0
3.051373167E0,-5.114115143E0,4.381239166E0,6.964866486E0,9.688074911E0
3.061399167E0,-4.972509613E0,4.148024139E0,6.780150604E0,9.375627890E0
3.071425167E0,-4.829257507E0,3.898343353E0,6.591243439E0,9.053358440E0
3.081450167E0,-4.750221863E0,3.678600311E0,6.459517365E0,8.821681959E0
3.091476167E0,-4.717589722E0,3.499572601E0,6.420149231E0,8.701780124E0
3.101502167E0,-4.740342407E0,3.346141663E0,6.450685730E0,8.676338891E0
3.111528167E0,-4.781506805E0,3.194806366E0,6.478827209E0,8.662840011E0
3.121554167E0,-4.814737701E0,3.086431732E0,6.499633942E0,8.657540144E0
3.131579167E0,-4.886588287E0,3.018922119E0,6.570586395E0,8.727269987E0
3.141605167E0,-5.007536774E0,2.991978149E0,6.694678345E0,8.879531290E0
3.151631167E0,-5.131329346E0,3.003953247E0,6.845414886E0,9.067192561E0
3.161657167E0,-5.256618805E0,3.050207062E0,6.968608704E0,9.246475634E0
3.171683167E0,-5.354365540E0,3.115171967E0,7.067253571E0,9.397850804E0
3.181708167E0,-5.455854492E0,3.226839752E0,7.190597076E0,9.585589671E0
3.191734167E0,-5.563780060E0,3.355122986E0,7.316784668E0,9.785082354E0
3.201760167E0,-5.654940491E0,3.508104858E0,7.404502258E0,9.955491216E0
3.211786167E0,-5.749094696E0,3.694916382E0,7.523055725E0,1.016370328E1
3.221811167E0,-5.855523376E0,3.898343353E0,7.665559387E0,1.040408745E1
3.231837167E0,-5.908363495E0,4.084256744E0,7.704478455E0,1.053322840E1
3.241863167E0,-5.866300964E0,4.223766632E0,7.630083160E0,1.051055948E1
3.251889167E0,-5.789061584E0,4.360881500E0,7.527995453E0,1.044993957E1
3.261914167E0,-5.739514618E0,4.510719910E0,7.465425568E0,1.044132181E1
3.271940167E0,-5.702092438E0,4.668940887E0,7.435936890E0,1.046928959E1
3.281966167E0,-5.652395782E0,4.812941437E0,7.418423309E0,1.049509351E1
3.291992167E0,-5.574857025E0,4.928800507E0,7.357050934E0,1.046414372E1
3.302018167E0,-5.474415894E0,5.004542999E0,7.267986145E0,1.038452226E1
3.312043167E0,-5.402265930E0,5.064568176E0,7.201973419E0,1.032970228E1
3.322069167E0,-5.333409119E0,5.102888489E0,7.153174896E0,1.027874675E1
